   July 21,2005		 Java Astrodynamics Toolkit: Harris-Priester data taken from GTDS
				 Modified to include line numbers (first line = 0) and exponential format

   MAY 15,2002           TRAMP VERSION: GNCC 2.1 05/15/2002                                        PAGE    38

                             DATA MANAGEMENT REPORT OF THE PERMANENT FILES  -- ATMOSPHERIC DENSITY   

                                        DSNAME: \\Gncc1\Tools\Navigation\GTDS\Environment\atmosden.pc                                   
***************************************************************************************************************


MODEL NUMBER:   1
NUMBER OF ENTRIES IN DENSITY ARRAY: 59
MODEL NAME: 1964 HARRIS/PRIESTER ATMOSPHERE (MIN-MAX) 0-2000 KM  F=65               
LINE:  78

MODEL NUMBER:   2
NUMBER OF ENTRIES IN DENSITY ARRAY: 59
MODEL NAME: 1964 HARRIS/PRIESTER ATMOSPHERE (MIN-MAX) 0-2000 KM  F=75   
LINE:  158

MODEL NUMBER:   3
NUMBER OF ENTRIES IN DENSITY ARRAY: 59
MODEL NAME: 1964 HARRIS/PRIESTER ATMOSPHERE (MIN-MAX) 0-2000 KM  F=100              
LINE:  238

MODEL NUMBER:   4
NUMBER OF ENTRIES IN DENSITY ARRAY: 59
MODEL NAME: 1964 HARRIS/PRIESTER ATMOSPHERE (MIN-MAX) 0-2000 KM  F=125              
LINE:  318

MODEL NUMBER:   5
NUMBER OF ENTRIES IN DENSITY ARRAY: 59
MODEL NAME: 1964 HARRIS/PRIESTER ATMOSPHERE (MIN-MAX) 0-2000 KM  F=150              
LINE:  398

MODEL NUMBER:   6
NUMBER OF ENTRIES IN DENSITY ARRAY: 59
MODEL NAME: 1964 HARRIS/PRIESTER ATMOSPHERE (MIN-MAX) 0-2000 KM  F=175              
LINE:  478

MODEL NUMBER:   7
NUMBER OF ENTRIES IN DENSITY ARRAY: 59
MODEL NAME: 1964 HARRIS/PRIESTER ATMOSPHERE (MIN-MAX) 0-2000 KM  F=200              
LINE:  558

MODEL NUMBER:   8
NUMBER OF ENTRIES IN DENSITY ARRAY: 59
MODEL NAME: 1964 HARRIS/PRIESTER ATMOSPHERE (MIN-MAX) 0-2000 KM  F=225              
LINE:  638

MODEL NUMBER:   9
NUMBER OF ENTRIES IN DENSITY ARRAY: 59
MODEL NAME: 1964 HARRIS/PRIESTER ATMOSPHERE (MIN-MAX) 0-2000 KM  F=250              
LINE:  718

MODEL NUMBER:  10
NUMBER OF ENTRIES IN DENSITY ARRAY: 59
MODEL NAME: 1964 HARRIS/PRIESTER ATMOSPHERE (MIN-MAX) 0-2000 KM  F=275              
LINE:  798
***************************************************************************************************************
   MAY 15,2002           TRAMP VERSION: GNCC 2.1 05/15/2002                                        PAGE    39

                             DATA MANAGEMENT REPORT OF THE PERMANENT FILES  -- ATMOSPHERIC DENSITY   

                                        DSNAME: \\Gncc1\Tools\Navigation\GTDS\Environment\atmosden.pc                                   



MODEL NUMBER:   1
NUMBER OF ENTRIES IN DENSITY ARRAY: 59
MODEL NAME: 1964 HARRIS/PRIESTER ATMOSPHERE (MIN-MAX) 0-2000 KM  F=65               

ATMOSPHERIC DENSITY MODEL

         ALTITUDE           MINIMUM DENSITY       MAXIMUM DENSITY
       1.6000000E+03         3.7000000E-08         3.6500000E-07
       1.7000000E+03         2.5500000E-08         3.0000000E-07
       1.8000000E+03         1.8200000E-08         2.2000000E-07
       1.9000000E+03         1.3000000E-08         1.8000000E-07
       2.0000000E+03         1.0000000E-08         1.4500000E-07



END OF PERMANENT ATMOSPHERIC DENSITY REPORT
   MAY 15,2002           TRAMP VERSION: GNCC 2.1 05/15/2002                                        PAGE    40

                             DATA MANAGEMENT REPORT OF THE PERMANENT FILES  -- ATMOSPHERIC DENSITY   

                                        DSNAME: \\Gncc1\Tools\Navigation\GTDS\Environment\atmosden.pc                                   



MODEL NUMBER:   2
NUMBER OF ENTRIES IN DENSITY ARRAY: 59
MODEL NAME: 1964 HARRIS/PRIESTER ATMOSPHERE (MIN-MAX) 0-2000 KM  F=75               

ATMOSPHERIC DENSITY MODEL

         ALTITUDE           MINIMUM DENSITY       MAXIMUM DENSITY
          (IN KM)           (IN KG/KM**3)          (IN KG/KM**3)

       1.1000000E+02         7.8000000E+01         7.8000000E+01
       1.2000000E+02         2.4900000E+01         2.4900000E+01
       1.3000000E+02         8.9130000E+00         9.2630000E+00
       1.4000000E+02         4.0510000E+00         4.1970000E+00
       1.5000000E+02         2.0920000E+00         2.1760000E+00
       1.6000000E+02         1.1600000E+00         1.2490000E+00
       1.7000000E+02         6.7810000E-01         7.6970000E-01
       1.8000000E+02         4.1570000E-01         5.0160000E-01
       1.9000000E+02         2.6530000E-01         3.3910000E-01
       2.0000000E+02         1.7250000E-01         2.3810000E-01
       2.1000000E+02         1.1510000E-01         1.7160000E-01
       2.2000000E+02         7.8660000E-02         1.2620000E-01
       2.3000000E+02         5.4850000E-02         9.4350000E-02
       2.4000000E+02         3.8940000E-02         7.1550000E-02
       2.5000000E+02         2.8100000E-02         5.4920000E-02
       2.6000000E+02         2.0560000E-02         4.2610000E-02
       2.7000000E+02         1.5230000E-02         3.3370000E-02
       2.8000000E+02         1.1410000E-02         2.6350000E-02
       2.9000000E+02         8.6310000E-03         2.0960000E-02
       3.0000000E+02         6.5540000E-03         1.6820000E-02
       3.2000000E+02         3.8400000E-03         1.1130000E-02
       3.4000000E+02         2.3010000E-03         7.5140000E-03
       3.6000000E+02         1.4030000E-03         5.1600000E-03
       3.8000000E+02         8.6840000E-04         3.5950000E-03
       4.0000000E+02         5.4400000E-04         2.5340000E-03
       4.2000000E+02         3.4190000E-04         1.7980000E-03
       4.4000000E+02         2.1890000E-04         1.2910000E-03
       4.6000000E+02         1.4180000E-04         9.3340000E-04
       4.8000000E+02         9.3040000E-05         6.7950000E-04
       5.0000000E+02         6.1940000E-05         4.9760000E-04
       5.2000000E+02         4.1950000E-05         3.6640000E-04
       5.4000000E+02         2.8990000E-05         2.7130000E-04
       5.6000000E+02         2.0500000E-05         2.0190000E-04
       5.8000000E+02         1.4870000E-05         1.5110000E-04
       6.0000000E+02         1.1090000E-05         1.1370000E-04
       6.2000000E+02         8.5000000E-06         8.6140000E-05
       6.4000000E+02         6.6990000E-06         6.5670000E-05
       6.6000000E+02         5.4160000E-06         5.0430000E-05
       6.8000000E+02         4.4790000E-06         3.9030000E-05
       7.0000000E+02         3.7770000E-06         3.0470000E-05
       7.2000000E+02         3.2380000E-06         2.4020000E-05
       7.4000000E+02         2.8120000E-06         1.9130000E-05
       7.6000000E+02         2.4680000E-06         1.5400000E-05
       7.8000000E+02         2.1840000E-06         1.2540000E-05
       8.0000000E+02         1.9450000E-06         1.0330000E-05
       8.5000000E+02         1.4000000E-06         7.3000000E-06
       9.0000000E+02         1.0000000E-06         5.2000000E-06
       9.5000000E+02         7.8000000E-07         3.8000000E-06
       1.0000000E+03         5.8000000E-07         3.1000000E-06
       1.1000000E+03         3.5500000E-07         2.0500000E-06
       1.2000000E+03         2.3000000E-07         1.4000000E-06
       1.3000000E+03         1.4500000E-07         1.0000000E-06
       1.4000000E+03         9.1000000E-08         7.2000000E-07
       1.5000000E+03         6.7000000E-08         5.4500000E-07
       1.6000000E+03         4.5000000E-08         4.1500000E-07
       1.7000000E+03         3.3000000E-08         3.4000000E-07
       1.8000000E+03         2.2500000E-08         2.6500000E-07
       1.9000000E+03         1.6000000E-08         2.1000000E-07
       2.0000000E+03         1.2800000E-08         1.7000000E-07



END OF PERMANENT ATMOSPHERIC DENSITY REPORT
   MAY 15,2002           TRAMP VERSION: GNCC 2.1 05/15/2002                                        PAGE    41

                             DATA MANAGEMENT REPORT OF THE PERMANENT FILES  -- ATMOSPHERIC DENSITY   

                                        DSNAME: \\Gncc1\Tools\Navigation\GTDS\Environment\atmosden.pc                                   



MODEL NUMBER:   3
NUMBER OF ENTRIES IN DENSITY ARRAY: 59
MODEL NAME: 1964 HARRIS/PRIESTER ATMOSPHERE (MIN-MAX) 0-2000 KM  F=100              

ATMOSPHERIC DENSITY MODEL

         ALTITUDE           MINIMUM DENSITY       MAXIMUM DENSITY
          (IN KM)           (IN KG/KM**3)          (IN KG/KM**3)

       1.1000000E+02         7.8000000E+01         7.8000000E+01
       1.2000000E+02         2.4900000E+01         2.4900000E+01
       1.3000000E+02         8.7400000E+00         9.0910000E+00
       1.4000000E+02         4.0020000E+00         4.1570000E+00
       1.5000000E+02         2.1030000E+00         2.1910000E+00
       1.6000000E+02         1.1950000E+00         1.2830000E+00
       1.7000000E+02         7.1860000E-01         8.0690000E-01
       1.8000000E+02         4.5150000E-01         5.3530000E-01
       1.9000000E+02         2.9570000E-01         3.6950000E-01
       2.0000000E+02         1.9800000E-01         2.6380000E-01
       2.1000000E+02         1.3540000E-01         1.9380000E-01
       2.2000000E+02         9.4590000E-02         1.4520000E-01
       2.3000000E+02         6.7370000E-02         1.1050000E-01
       2.4000000E+02         4.8800000E-02         8.5270000E-02
       2.5000000E+02         3.5890000E-02         6.6570000E-02
       2.6000000E+02         2.6750000E-02         5.2500000E-02
       2.7000000E+02         2.0170000E-02         4.1770000E-02
       2.8000000E+02         1.5380000E-02         3.3490000E-02
       2.9000000E+02         1.1830000E-02         2.7050000E-02
       3.0000000E+02         9.1170000E-03         2.2020000E-02
       3.2000000E+02         5.5220000E-03         1.4960000E-02
       3.4000000E+02         3.4210000E-03         1.0360000E-02
       3.6000000E+02         2.1580000E-03         7.2980000E-03
       3.8000000E+02         1.3820000E-03         5.2100000E-03
       4.0000000E+02         8.9520000E-04         3.7630000E-03
       4.2000000E+02         5.8630000E-04         2.7440000E-03
       4.4000000E+02         3.8750000E-04         2.0190000E-03
       4.6000000E+02         2.5840000E-04         1.4970000E-03
       4.8000000E+02         1.7390000E-04         1.1170000E-03
       5.0000000E+02         1.1820000E-04         8.3820000E-04
       5.2000000E+02         8.1230000E-05         6.3240000E-04
       5.4000000E+02         5.6500000E-05         4.7940000E-04
       5.6000000E+02         3.9870000E-05         3.6510000E-04
       5.8000000E+02         2.8590000E-05         2.7930000E-04
       6.0000000E+02         2.0880000E-05         2.1460000E-04
       6.2000000E+02         1.5560000E-05         1.6560000E-04
       6.4000000E+02         1.1850000E-05         1.2840000E-04
       6.6000000E+02         9.2300000E-06         1.0000000E-04
       6.8000000E+02         7.3510000E-06         7.8300000E-05
       7.0000000E+02         5.9820000E-06         6.1620000E-05
       7.2000000E+02         4.9650000E-06         4.8790000E-05
       7.4000000E+02         4.1950000E-06         3.8860000E-05
       7.6000000E+02         3.6000000E-06         3.1170000E-05
       7.8000000E+02         3.1300000E-06         2.5180000E-05
       8.0000000E+02         2.7510000E-06         2.0500000E-05
       8.5000000E+02         2.0000000E-06         1.3000000E-05
       9.0000000E+02         1.5000000E-06         9.0000000E-06
       9.5000000E+02         1.2000000E-06         6.2000000E-06
       1.0000000E+03         9.4000000E-07         5.0000000E-06
       1.1000000E+03         5.8000000E-07         3.1000000E-06
       1.2000000E+03         3.7500000E-07         2.1000000E-06
       1.3000000E+03         2.5000000E-07         1.5000000E-06
       1.4000000E+03         1.7000000E-07         1.1000000E-06
       1.5000000E+03         1.1800000E-07         7.7000000E-07
       1.6000000E+03         8.2000000E-08         6.0000000E-07
       1.7000000E+03         6.0000000E-08         5.0000000E-07
       1.8000000E+03         4.3000000E-08         3.9000000E-07
       1.9000000E+03         3.2000000E-08         3.1000000E-07
       2.0000000E+03         2.4000000E-08         2.5000000E-07



END OF PERMANENT ATMOSPHERIC DENSITY REPORT
   MAY 15,2002           TRAMP VERSION: GNCC 2.1 05/15/2002                                        PAGE    42

                             DATA MANAGEMENT REPORT OF THE PERMANENT FILES  -- ATMOSPHERIC DENSITY   

                                        DSNAME: \\Gncc1\Tools\Navigation\GTDS\Environment\atmosden.pc                                   



MODEL NUMBER:   4
NUMBER OF ENTRIES IN DENSITY ARRAY: 59
MODEL NAME: 1964 HARRIS/PRIESTER ATMOSPHERE (MIN-MAX) 0-2000 KM  F=125              

ATMOSPHERIC DENSITY MODEL

         ALTITUDE           MINIMUM DENSITY       MAXIMUM DENSITY
          (IN KM)           (IN KG/KM**3)          (IN KG/KM**3)

       1.1000000E+02         7.8000000E+01         7.8000000E+01
       1.2000000E+02         2.4900000E+01         2.4900000E+01
       1.3000000E+02         8.5670000E+00         8.9200000E+00
       1.4000000E+02         3.9520000E+00         4.1130000E+00
       1.5000000E+02         2.1110000E+00         2.2020000E+00
       1.6000000E+02         1.2260000E+00         1.3140000E+00
       1.7000000E+02         7.5720000E-01         8.4110000E-01
       1.8000000E+02         4.8640000E-01         5.6720000E-01
       1.9000000E+02         3.2550000E-01         3.9890000E-01
       2.0000000E+02         2.2430000E-01         2.8890000E-01
       2.1000000E+02         1.5670000E-01         2.1590000E-01
       2.2000000E+02         1.1180000E-01         1.6440000E-01
       2.3000000E+02         8.1150000E-02         1.2720000E-01
       2.4000000E+02         5.9870000E-02         9.9780000E-02
       2.5000000E+02         4.4790000E-02         7.9130000E-02
       2.6000000E+02         3.3940000E-02         6.3360000E-02
       2.7000000E+02         2.6000000E-02         5.1160000E-02
       2.8000000E+02         2.0110000E-02         4.1630000E-02
       2.9000000E+02         1.5700000E-02         3.4090000E-02
       3.0000000E+02         1.2310000E-02         2.8090000E-02
       3.2000000E+02         7.6750000E-03         1.9530000E-02
       3.4000000E+02         4.8940000E-03         1.3850000E-02
       3.6000000E+02         3.1780000E-03         9.9760000E-03
       3.8000000E+02         2.0940000E-03         7.2820000E-03
       4.0000000E+02         1.3970000E-03         5.3760000E-03
       4.2000000E+02         9.6250000E-04         4.0330000E-03
       4.4000000E+02         6.5520000E-04         3.0340000E-03
       4.6000000E+02         4.4970000E-04         2.2990000E-03
       4.8000000E+02         3.1090000E-04         1.7540000E-03
       5.0000000E+02         2.1660000E-04         1.3460000E-03
       5.2000000E+02         1.5200000E-04         1.0380000E-03
       5.4000000E+02         1.0760000E-04         8.0430000E-04
       5.6000000E+02         7.6850000E-05         6.2600000E-04
       5.8000000E+02         5.5450000E-05         4.8920000E-04
       6.0000000E+02         4.0470000E-05         3.8380000E-04
       6.2000000E+02         2.9920000E-05         3.0220000E-04
       6.4000000E+02         2.2440000E-05         2.3880000E-04
       6.6000000E+02         1.7100000E-05         1.8940000E-04
       6.8000000E+02         1.3250000E-05         1.5070000E-04
       7.0000000E+02         1.0450000E-05         1.2040000E-04
       7.2000000E+02         8.3970000E-06         9.6580000E-05
       7.4000000E+02         6.8670000E-06         7.7770000E-05
       7.6000000E+02         5.7130000E-06         6.2890000E-05
       7.8000000E+02         4.8300000E-06         5.1090000E-05
       8.0000000E+02         4.1430000E-06         4.1700000E-05
       8.5000000E+02         3.1500000E-06         2.7000000E-05
       9.0000000E+02         2.2500000E-06         1.8000000E-05
       9.5000000E+02         1.7200000E-06         1.2000000E-05
       1.0000000E+03         1.4000000E-06         8.8000000E-06
       1.1000000E+03         8.5000000E-07         5.3000000E-06
       1.2000000E+03         5.4000000E-07         3.2000000E-06
       1.3000000E+03         3.8000000E-07         2.2500000E-06
       1.4000000E+03         2.8000000E-07         1.5000000E-06
       1.5000000E+03         1.9500000E-07         1.0300000E-06
       1.6000000E+03         1.3500000E-07         8.0000000E-07
       1.7000000E+03         1.0200000E-07         6.5000000E-07
       1.8000000E+03         7.4000000E-08         5.2000000E-07
       1.9000000E+03         5.6000000E-08         4.2500000E-07
       2.0000000E+03         4.4000000E-08         3.4000000E-07



END OF PERMANENT ATMOSPHERIC DENSITY REPORT
   MAY 15,2002           TRAMP VERSION: GNCC 2.1 05/15/2002                                        PAGE    43

                             DATA MANAGEMENT REPORT OF THE PERMANENT FILES  -- ATMOSPHERIC DENSITY   

                                        DSNAME: \\Gncc1\Tools\Navigation\GTDS\Environment\atmosden.pc                                   



MODEL NUMBER:   5
NUMBER OF ENTRIES IN DENSITY ARRAY: 59
MODEL NAME: 1964 HARRIS/PRIESTER ATMOSPHERE (MIN-MAX) 0-2000 KM  F=150              

ATMOSPHERIC DENSITY MODEL

         ALTITUDE           MINIMUM DENSITY       MAXIMUM DENSITY
          (IN KM)           (IN KG/KM**3)          (IN KG/KM**3)

       1.1000000E+02         7.8000000E+01         7.8000000E+01
       1.2000000E+02         2.4900000E+01         2.4900000E+01
       1.3000000E+02         8.3770000E+00         8.7100000E+00
       1.4000000E+02         3.8990000E+00         4.0590000E+00
       1.5000000E+02         2.1220000E+00         2.2150000E+00
       1.6000000E+02         1.2630000E+00         1.3440000E+00
       1.7000000E+02         8.0080000E-01         8.7580000E-01
       1.8000000E+02         5.2830000E-01         6.0100000E-01
       1.9000000E+02         3.6170000E-01         4.2970000E-01
       2.0000000E+02         2.5570000E-01         3.1620000E-01
       2.1000000E+02         1.8390000E-01         2.3960000E-01
       2.2000000E+02         1.3410000E-01         1.8530000E-01
       2.3000000E+02         9.9490000E-02         1.4550000E-01
       2.4000000E+02         7.4880000E-02         1.1570000E-01
       2.5000000E+02         5.7090000E-02         9.3080000E-02
       2.6000000E+02         4.4030000E-02         7.5550000E-02
       2.7000000E+02         3.4300000E-02         6.1820000E-02
       2.8000000E+02         2.6970000E-02         5.0950000E-02
       2.9000000E+02         2.1390000E-02         4.2260000E-02
       3.0000000E+02         1.7080000E-02         3.5260000E-02
       3.2000000E+02         1.0990000E-02         2.5110000E-02
       3.4000000E+02         7.2140000E-03         1.8190000E-02
       3.6000000E+02         4.8240000E-03         1.3370000E-02
       3.8000000E+02         3.2740000E-03         9.9550000E-03
       4.0000000E+02         2.2490000E-03         7.4920000E-03
       4.2000000E+02         1.5580000E-03         5.6840000E-03
       4.4000000E+02         1.0910000E-03         4.3550000E-03
       4.6000000E+02         7.7010000E-04         3.3620000E-03
       4.8000000E+02         5.4740000E-04         2.6120000E-03
       5.0000000E+02         3.9160000E-04         2.0420000E-03
       5.2000000E+02         2.8190000E-04         1.6050000E-03
       5.4000000E+02         2.0420000E-04         1.2670000E-03
       5.6000000E+02         1.4880000E-04         1.0050000E-03
       5.8000000E+02         1.0920000E-04         7.9970000E-04
       6.0000000E+02         8.0700000E-05         6.3900000E-04
       6.2000000E+02         6.0120000E-05         5.1230000E-04
       6.4000000E+02         4.5190000E-05         4.1210000E-04
       6.6000000E+02         3.4300000E-05         3.3250000E-04
       6.8000000E+02         2.6320000E-05         2.6910000E-04
       7.0000000E+02         2.0430000E-05         2.1850000E-04
       7.2000000E+02         1.6070000E-05         1.7790000E-04
       7.4000000E+02         1.2810000E-05         1.4520000E-04
       7.6000000E+02         1.0360000E-05         1.1900000E-04
       7.8000000E+02         8.4960000E-06         9.7760000E-05
       8.0000000E+02         7.0690000E-06         8.0590000E-05
       8.5000000E+02         4.8000000E-06         5.5000000E-05
       9.0000000E+02         3.3000000E-06         3.7000000E-05
       9.5000000E+02         2.4500000E-06         2.4000000E-05
       1.0000000E+03         1.9000000E-06         1.7000000E-05
       1.1000000E+03         1.1800000E-06         8.7000000E-06
       1.2000000E+03         7.5000000E-07         4.8000000E-06
       1.3000000E+03         5.3000000E-07         3.2000000E-06
       1.4000000E+03         4.1000000E-07         2.0000000E-06
       1.5000000E+03         2.9000000E-07         1.3500000E-06
       1.6000000E+03         2.0000000E-07         9.5000000E-07
       1.7000000E+03         1.6000000E-07         7.7000000E-07
       1.8000000E+03         1.2000000E-07         6.3000000E-07
       1.9000000E+03         9.6000000E-08         5.2000000E-07
       2.0000000E+03         7.3000000E-08         4.4000000E-07



END OF PERMANENT ATMOSPHERIC DENSITY REPORT
   MAY 15,2002           TRAMP VERSION: GNCC 2.1 05/15/2002                                        PAGE    44

                             DATA MANAGEMENT REPORT OF THE PERMANENT FILES  -- ATMOSPHERIC DENSITY   

                                        DSNAME: \\Gncc1\Tools\Navigation\GTDS\Environment\atmosden.pc                                   



MODEL NUMBER:   6
NUMBER OF ENTRIES IN DENSITY ARRAY: 59
MODEL NAME: 1964 HARRIS/PRIESTER ATMOSPHERE (MIN-MAX) 0-2000 KM  F=175              

ATMOSPHERIC DENSITY MODEL

         ALTITUDE           MINIMUM DENSITY       MAXIMUM DENSITY
          (IN KM)           (IN KG/KM**3)          (IN KG/KM**3)

       1.1000000E+02         7.8000000E+01         7.8000000E+01
       1.2000000E+02         2.4900000E+01         2.4900000E+01
       1.3000000E+02         8.2390000E+00         8.5770000E+00
       1.4000000E+02         3.8580000E+00         4.0210000E+00
       1.5000000E+02         2.1230000E+00         2.2180000E+00
       1.6000000E+02         1.2830000E+00         1.3630000E+00
       1.7000000E+02         8.2460000E-01         8.9970000E-01
       1.8000000E+02         5.5380000E-01         6.2510000E-01
       1.9000000E+02         3.8480000E-01         4.5140000E-01
       2.0000000E+02         2.7600000E-01         3.3620000E-01
       2.1000000E+02         2.0190000E-01         2.5690000E-01
       2.2000000E+02         1.4950000E-01         2.0080000E-01
       2.3000000E+02         1.1240000E-01         1.5930000E-01
       2.4000000E+02         8.5790000E-02         1.2800000E-01
       2.5000000E+02         6.6260000E-02         1.0400000E-01
       2.6000000E+02         5.1740000E-02         8.5220000E-02
       2.7000000E+02         4.0790000E-02         7.0410000E-02
       2.8000000E+02         3.2440000E-02         5.8580000E-02
       2.9000000E+02         2.6000000E-02         4.9040000E-02
       3.0000000E+02         2.0870000E-02         4.1310000E-02
       3.2000000E+02         1.3680000E-02         2.9910000E-02
       3.4000000E+02         9.1570000E-03         2.2010000E-02
       3.6000000E+02         6.2380000E-03         1.6430000E-02
       3.8000000E+02         4.3130000E-03         1.2410000E-02
       4.0000000E+02         3.0190000E-03         9.4750000E-03
       4.2000000E+02         2.1340000E-03         7.2930000E-03
